product_id,organization_id,product_name,type,current_product,date_entered,spec_issue_date,spec_revise_date,exp_time_frame,exp_unit,exp_type,exp_use_oldest_ingredient,default_formula_id
62,39,Kidney Formula,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,39,Kidney Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,39,Manforce,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,39,Manforce,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,39,Small Markus Sweet,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,39,Large Markus Sweet,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,39,Night Rebuild,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,39,Night Rebuild,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,39,Parasite Free,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,39,Power Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,39,Prebiotic Fiber,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,39,Prostate Formula,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,39,Prostate Formula,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,39,Super Plant Protein,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,39,Sweetened Super Plant Protein (Lupini),Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,39,Trim Force,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,39,Trim Force,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,39,Unsweetened Green Formula (No Peppermint),Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,39,Unsweetened Green Formula (With Peppermint),Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,39,Unsweetened Super Plant Protein (Lupini),Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,39,Unsweetened Super Plant Protein,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,39,Vitamin C,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,45,Aloe Path V15,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,45,Aloe Path V17,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,45,Biome Defense V77,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,45,Biome Defense V79,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,45,Bladder Builder (Vitamin E),Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,45,Bladder Builder (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,45,Bladder Rest V,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,45,Bladder Smart V1,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,45,CystoMend V13 (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,45,CystoMend V9,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,45,CystoMend V9 (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,45,D-Mannose,Powder,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,45,L. Flora v3,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,45,PEAORA (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,45,Peaora Omega 3,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,45,Prevent Capsules,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,45,Prevent Capsules (Flow Agent),Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,45,Prostatitis V151,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,45,Prostatitis V155,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,45,Prostatitis V159,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,45,Tru Test V1,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,45,UroProstatitis V173,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,40,Pet Immune Health,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,41,Prescript Assist 60ct (Lite),Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,41,Prescript Assist 60ct (Advanced),Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,41,Prescript Assist 60ct,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,41,Prescript Assist 90ct,Capsule,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,41,Prescript Assist 90ct (Advanced),Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,41,Prescript Assist 60ct (Pea Protein),Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,41,Tas Alpha,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,42,Large Inca Gold Maca,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,42,Small Inca Gold Maca,Powder,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,42,Large Inca Gold Maca,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,42,Small Inca Gold Maca,Capsule,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
