prefix,year,month,sec_number,organization_id,client_po_num,order_date,target_completion_date,completion_date,date_entered
,22,09,062,45,13,2022-08-22,NULL,NULL,NULL
,22,09,063,39,Email 08/28/2022,2022-08-28,NULL,NULL,NULL
,22,09,064,45,14,2022-09-14,NULL,NULL,NULL
,22,09,065,35,090-622E,2022-09-06,NULL,NULL,NULL
,22,09,066,39,Email 8/26/2022,2022-08-26,NULL,NULL,NULL
,22,10,067,38,001/FGRSPMOS/XI/22,2022-09-28,NULL,NULL,NULL
,22,10,068,39,10/10/2022,2022-10-10,2023-01-16,NULL,NULL
,22,10,069,39,10/10/2022,2022-10-10,2022-11-15,NULL,NULL
,22,10,070,45,15,2022-09-20,NULL,NULL,NULL
,22,10,071,41,Email 8/2/2022,2022-08-02,NULL,NULL,NULL
,22,10,072,45,16,2022-10-26,NULL,NULL,NULL
,22,11,073,45,17,2022-11-15,NULL,NULL,NULL
,22,11,074,45,18,2022-10-27,NULL,NULL,NULL
,22,11,075,38,022/FG/BSO/IX/22,2022-09-25,NULL,NULL,NULL
,22,11,076,45,19,2022-11-18,NULL,NULL,NULL
,22,11,077,41,Email 11/22/2022,2022-11-22,NULL,NULL,NULL
,22,11,078,45,20,2022-11-28,NULL,NULL,NULL
,22,11,079,38,003/FG/SVG/XI/22,2022-11-25,NULL,NULL,NULL
,22,12,080,45,21,2022-12-02,NULL,NULL,NULL
,22,12,081,39,12/13/2022 Email,2022-12-13,NULL,NULL,NULL
,22,12,082,45,22,2022-12-20,NULL,NULL,NULL
,22,12,083,45,23,2022-12-20,NULL,NULL,NULL
,22,12,084,38,010/FG/SPI/XI/22,2022-11-30,NULL,NULL,NULL
,22,12,085,35,120-722E,2022-12-07,NULL,NULL,NULL
,23,01,001,36,1/3/2023,2023-01-03,NULL,NULL,NULL
,23,01,002,38,001/FG/BSOC120/XII/22,2022-12-27,NULL,NULL,NULL
,23,01,003,38,023/FG/BSO/23,2022-01-13,NULL,NULL,NULL
,23,01,004,37,Email 1/21/2023,2023-01-21,NULL,NULL,NULL
,23,01,005,35,012-323E,2023-01-23,NULL,NULL,NULL
,23,02,006,38,002/FG/MMC/II/23,2023-02-07,NULL,NULL,2023-02-09
,23,02,007,38,011/FG/SPI/LL/23,2023-02-08,NULL,NULL,2023-02-09
