prefix,year,month,sec_number,suffix,product_id,po_detail_id,target_unit_yield,actual_unit_yield,batch_printed,bpr_printed,exp_date,exp_type
,22,01,011,,5,45,11,NULL,1,1,NULL,NULL
,22,01,012,,5,45,2,NULL,1,1,NULL,NULL
A,22,01,013,,27,46,2000,0,1,1,NULL,NULL
B,22,01,013,,27,46,NULL,NULL,1,1,NULL,NULL
C,22,01,013,,27,46,NULL,NULL,1,1,NULL,NULL
D,22,01,013,,27,46,NULL,NULL,1,1,NULL,NULL
,22,01,014,,5,47,9,NULL,1,1,NULL,NULL
,22,01,015,,5,47,9,NULL,1,1,NULL,NULL
,22,01,016,,5,47,8,NULL,1,1,NULL,NULL
,22,01,017,,49,36,250,NULL,1,1,NULL,NULL
,22,01,018,,9,48,1000,1004,1,1,NULL,NULL
,22,01,019,,9,48,1000,1005,1,1,NULL,NULL
,22,01,020,,53,49,750,763,1,1,NULL,NULL
,22,01,021,,62,50,1000,1146,1,1,NULL,NULL
,22,01,022,,69,53,750,762,1,1,NULL,NULL
,22,01,023,,69,53,750,750,1,1,NULL,NULL
,22,01,024,,70,54,1250,1400,1,1,NULL,NULL
,22,01,025,,70,54,1250,1450,1,1,NULL,NULL
,22,01,026,,70,54,1250,1540,1,1,NULL,NULL
,22,01,027,,70,54,1250,950,1,1,NULL,NULL
,22,01,028,BLOT 04,75,55,313,313,1,1,NULL,NULL
,22,01,029,BLOT 05,75,55,313,314,1,1,NULL,NULL
,22,01,030,BLOT 06,75,55,313,314,1,1,NULL,NULL
,22,01,031,BLOT 07,75,55,313,314,1,1,NULL,NULL
,22,01,032,BLOT 08,75,55,313,315,1,1,NULL,NULL
,22,01,033,BLOT 09,75,55,313,314,1,1,NULL,NULL
,22,01,034,BLOT 10,75,55,313,313,1,1,NULL,NULL
,22,01,035,BLOT 11,75,55,313,314,1,1,NULL,NULL
,22,01,036,BLOT 12,66,51,5000,NULL,1,1,NULL,NULL
,22,01,037,BLOT 13,67,52,5500,NULL,1,1,NULL,NULL
,22,01,038,,34,56,1760,1722,1,1,NULL,NULL
,22,01,039,,5,58,12,NULL,1,1,NULL,NULL
,22,01,040,,5,58,9,NULL,1,1,NULL,NULL
,22,01,041,,23,57,2220,2225,1,1,NULL,NULL
,22,01,042,,5,59,7,NULL,1,1,NULL,NULL
,22,01,043,,5,59,7,NULL,1,1,NULL,NULL
,22,01,044,,5,59,9,NULL,1,1,NULL,NULL
,22,01,045,,5,59,9,NULL,1,1,NULL,NULL
,22,01,046,,5,59,8,NULL,1,1,NULL,NULL
,22,01,047,,5,59,4,NULL,1,1,NULL,NULL
,22,02,048,,37,60,3668,3530,1,1,NULL,NULL
,22,02,049,,37,60,3668,3566,1,1,NULL,NULL
,22,02,050,,37,60,3668,3623,1,1,NULL,NULL
,22,02,051,,47,61,2564,2553,1,1,NULL,NULL
