prefix,year,month,sec_number,organization_id,client_po_num,order_date,target_completion_date,completion_date,date_entered
,22,08,56,39,Email 7/25/22,2022-07-25,NULL,NULL,2023-02-14
,22,09,57,38,002/FG/MORC/IX/22,2022-09-08,NULL,NULL,2023-02-14
,22,09,58,38,013A/FG/MOR/IX/22,2022-09-08,NULL,NULL,2023-02-14
,22,09,59,38,013B/FG/MOR/IX/22,2022-09-08,NULL,NULL,2023-02-14
,22,09,60,35,071-222E,2022-07-12,NULL,NULL,2023-02-14
,22,09,61,38,002/FG/PSMOS/IX/22,2022-09-09,NULL,NULL,2023-02-14
,22,09,62,45,13,2022-08-22,NULL,NULL,2023-02-14
,22,09,63,39,Email 08/28/2022,2022-08-28,NULL,NULL,2023-02-14
,22,09,64,45,14,2022-09-14,NULL,NULL,2023-02-14
,22,09,65,35,090-622E,2022-09-06,NULL,NULL,2023-02-14
,22,09,66,39,Email 8/26/2022,2022-08-26,NULL,NULL,2023-02-14
,22,10,67,38,001/FGRSPMOS/XI/22,2022-09-28,NULL,NULL,2023-02-14
,22,10,68,39,10/10/2022,2022-10-10,2023-01-16,NULL,2023-02-14
,22,10,69,39,10/10/2022,2022-10-10,2022-11-15,NULL,2023-02-14
,22,10,70,45,15,2022-09-20,NULL,NULL,2023-02-14
,22,10,71,41,Email 8/2/2022,2022-08-02,NULL,NULL,2023-02-14
,22,10,72,45,16,2022-10-26,NULL,NULL,2023-02-14
,22,11,73,45,17,2022-11-15,NULL,NULL,2023-02-14
,22,11,74,45,18,2022-10-27,NULL,NULL,2023-02-14
,22,11,75,38,022/FG/BSO/IX/22,2022-09-25,NULL,NULL,2023-02-14
,22,11,76,45,19,2022-11-18,NULL,NULL,2023-02-14
,22,11,77,41,Email 11/22/2022,2022-11-22,NULL,NULL,2023-02-14
,22,11,78,45,20,2022-11-28,NULL,NULL,2023-02-14
,22,11,79,38,003/FG/SVG/XI/22,2022-11-25,NULL,NULL,2023-02-14
,22,12,80,45,21,2022-12-02,NULL,NULL,2023-02-14
,22,12,81,39,12/13/2022 Email,2022-12-13,NULL,NULL,2023-02-14
,22,12,82,45,22,2022-12-20,NULL,NULL,2023-02-14
,22,12,83,45,23,2022-12-20,NULL,NULL,2023-02-14
,22,12,84,38,010/FG/SPI/XI/22,2022-11-30,NULL,NULL,2023-02-14
,22,12,85,35,120-722E,2022-12-07,NULL,NULL,2023-02-14
,23,01,1,36,1/3/2023,2023-01-03,NULL,NULL,2023-02-14
,23,01,2,38,001/FG/BSOC120/XII/22,2022-12-27,NULL,NULL,2023-02-14
,23,01,3,38,023/FG/BSO/23,2022-01-13,NULL,NULL,2023-02-14
,23,01,4,37,Email 1/21/2023,2023-01-21,NULL,NULL,2023-02-14
,23,01,5,35,012-323E,2023-01-23,NULL,NULL,2023-02-14
,23,02,6,38,002/FG/MMC/II/23,2023-02-07,NULL,NULL,2023-02-09
,23,02,7,38,011/FG/SPI/LL/23,2023-02-08,NULL,NULL,2023-02-09
